Date,Price,Open,High,Low,Volume,Change_Pct
2019-09-17,4928.98,4928.98,4928.98,4928.98,0,-0.62
2019-09-18,4888.01,4888.01,4888.01,4888.01,0,-0.83
2019-09-19,4855.98,4855.98,4855.98,4855.98,0,-0.66
2019-09-22,4920.96,4920.96,4920.96,4920.96,0,1.34
2019-09-23,5000.23,5000.23,5000.23,5000.23,0,1.61
2019-09-24,4958.72,4958.72,4958.72,4958.72,0,-0.83
2019-09-25,4951.73,4951.73,4951.73,4951.73,0,-0.14
2019-09-26,4968.46,4968.46,4968.46,4968.46,0,0.34
2019-09-29,4975.73,4975.73,4975.73,4975.73,0,0.15
2019-09-30,4947.63,4947.63,4947.63,4947.63,0,-0.56
2019-10-01,4949.39,4949.39,4949.39,4949.39,0,0.04
2019-10-02,4936.37,4936.37,4936.37,4936.37,0,-0.26
2019-10-03,4937.82,4937.82,4937.82,4937.82,0,0.03
2019-10-06,4916.68,4916.68,4916.68,4916.68,0,-0.43
2019-10-07,4894.31,4894.31,4894.31,4894.31,0,-0.45
2019-10-09,4862.25,4862.25,4862.25,4862.25,0,-0.66
2019-10-10,4810.21,4810.21,4810.21,4810.21,0,-1.07
2019-10-13,4761.87,4761.87,4761.87,4761.87,0,-1.0
2019-10-14,4711.3,4711.3,4711.3,4711.3,0,-1.06
2019-10-15,4821.64,4821.64,4821.64,4821.64,0,2.34
2019-10-16,4781.62,4781.62,4781.62,4781.62,0,-0.83
2019-10-17,4770.99,4770.99,4770.99,4770.99,0,-0.22
2019-10-20,4782.09,4782.09,4782.09,4782.09,0,0.23
2019-10-21,4761.42,4761.42,4761.42,4761.42,0,-0.43
2019-10-22,4708.68,4708.68,4708.68,4708.68,0,-1.11
2019-10-23,4726.62,4726.62,4726.62,4726.62,0,0.38
2019-10-24,4772.0,4772.0,4772.0,4772.0,0,0.96
2019-10-27,4752.64,4752.64,4752.64,4752.64,0,-0.41
2019-10-28,4699.22,4699.22,4699.22,4699.22,0,-1.12
2019-10-29,4670.74,4670.74,4670.74,4670.74,0,-0.61
2019-10-30,4683.2,4683.2,4683.2,4683.2,0,0.27
2019-10-31,4682.9,4682.9,4682.9,4682.9,0,-0.01
2019-11-03,4712.08,4712.08,4712.08,4712.08,0,0.62
2019-11-04,4678.36,4678.36,4678.36,4678.36,0,-0.72
2019-11-05,4703.7,4703.7,4703.7,4703.7,0,0.54
2019-11-06,4754.69,4754.69,4754.69,4754.69,0,1.08
2019-11-07,4771.91,4771.91,4771.91,4771.91,0,0.36
2019-11-11,4781.47,4781.47,4781.47,4781.47,0,0.2
2019-11-12,4779.18,4779.18,4779.18,4779.18,0,-0.05
2019-11-13,4737.17,4737.17,4737.17,4737.17,0,-0.88
2019-11-14,4710.36,4710.36,4710.36,4710.36,0,-0.57
2019-11-17,4717.39,4717.39,4717.39,4717.39,0,0.15
2019-11-18,4722.01,4722.01,4722.01,4722.01,0,0.1
2019-11-19,4722.37,4722.37,4722.37,4722.37,0,0.01
2019-11-20,4691.93,4691.93,4691.93,4691.93,0,-0.64
2019-11-21,4706.66,4706.66,4706.66,4706.66,0,0.31
2019-11-24,4688.42,4688.42,4688.42,4688.42,0,-0.39
2019-11-25,4693.62,4693.62,4693.62,4693.62,0,0.11
2019-11-26,4722.3,4722.3,4722.3,4722.3,0,0.61
2019-11-27,4730.34,4730.34,4730.34,4730.34,0,0.17
2019-11-28,4731.43,4731.43,4731.43,4731.43,0,0.02
2019-12-01,4758.81,4758.81,4758.81,4758.81,0,0.58
2019-12-02,4734.59,4734.59,4734.59,4734.59,0,-0.51
2019-12-03,4697.35,4697.35,4697.35,4697.35,0,-0.79
2019-12-04,4702.98,4702.98,4702.98,4702.98,0,0.12
2019-12-05,4671.33,4671.33,4671.33,4671.33,0,-0.67
2019-12-08,4596.0,4596.0,4596.0,4596.0,0,-1.61
2019-12-09,4533.75,4533.75,4533.75,4533.75,0,-1.35
